Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,Geo_PLACESE,Geo_ZCTA3,ACS23_5yr_B25001001,ACS23_5yr_B25001001s,ACS23_5yr_B25003001,ACS23_5yr_B25003002,ACS23_5yr_B25003003,ACS23_5yr_B25003001s,ACS23_5yr_B25003002s,ACS23_5yr_B25003003s,ACS23_5yr_B25008001,ACS23_5yr_B25008002,ACS23_5yr_B25008003,ACS23_5yr_B25008001s,ACS23_5yr_B25008002s,ACS23_5yr_B25008003s,ACS23_5yr_B25008B001,ACS23_5yr_B25008B002,ACS23_5yr_B25008B003,ACS23_5yr_B25008B001s,ACS23_5yr_B25008B002s,ACS23_5yr_B25008B003s,ACS23_5yr_B25008D001,ACS23_5yr_B25008D002,ACS23_5yr_B25008D003,ACS23_5yr_B25008D001s,ACS23_5yr_B25008D002s,ACS23_5yr_B25008D003s,ACS23_5yr_B25008H001,ACS23_5yr_B25008H002,ACS23_5yr_B25008H003,ACS23_5yr_B25008H001s,ACS23_5yr_B25008H002s,ACS23_5yr_B25008H003s,ACS23_5yr_B25008I001,ACS23_5yr_B25008I002,ACS23_5yr_B25008I003,ACS23_5yr_B25008I001s,ACS23_5yr_B25008I002s,ACS23_5yr_B25008I003s
"ACSSF","ca","140","00",,,,"06","037",,,"603901",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037603901","Census Tract 6039.01",,,"Census Tract 6039.01, Los Angeles County, California","06037603901","735668","0",,,1290,74.54546,1290,654,636,74.54546,89.69697,77.57576,3805,1924,1881,244.2424,295.1515,288.4849,236,35,201,75.15151,30.30303,78.78788,290,205,85,136.3636,121.2121,64.84849,865,609,256,237.5758,187.2727,127.2727,2390,1075,1315,296.9697,247.8788,315.7576
"ACSSF","ca","140","00",,,,"06","037",,,"603902",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037603902","Census Tract 6039.02",,,"Census Tract 6039.02, Los Angeles County, California","06037603902","751354","0",,,1190,162.4242,1147,500,647,165.4545,161.8182,132.7273,3480,1311,2169,579.3939,394.5454,547.8788,0,0,0,8.484848,8.484848,8.484848,320,219,101,168.4848,147.8788,76.9697,443,249,194,106.6667,103.6364,126.6667,2613,739,1874,603.6364,350.9091,524.2424
"ACSSF","ca","140","00",,,,"06","037",,,"604001",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037604001","Census Tract 6040.01",,,"Census Tract 6040.01, Los Angeles County, California","06037604001","659021","0",,,1364,84.24242,1215,395,820,66.06061,69.09091,73.33334,4600,1635,2965,666.0606,592.7273,355.1515,146,52,94,60.60606,30.90909,53.93939,220,49,171,84.84849,38.78788,78.18182,728,237,491,110.9091,69.09091,112.7273,3488,1287,2201,678.7879,593.3333,353.3333
"ACSSF","ca","140","00",,,,"06","037",,,"604002",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037604002","Census Tract 6040.02",,,"Census Tract 6040.02, Los Angeles County, California","06037604002","650674","0",,,1606,72.72727,1501,418,1083,83.0303,62.42424,73.33334,3766,1157,2609,264.8485,189.0909,267.2727,189,0,189,103.6364,8.484848,103.6364,460,117,343,160,75.15151,138.1818,811,317,494,152.7273,88.48485,138.7879,1994,535,1459,261.2121,143.0303,300.606
"ACSSF","ca","140","00",,,,"06","037",,,"604101",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037604101","Census Tract 6041.01",,,"Census Tract 6041.01, Los Angeles County, California","06037604101","480268","0",,,1211,90.90909,1142,334,808,95.75758,70.30303,84.84849,3863,1418,2445,514.5455,492.7273,225.4545,61,17,44,49.09091,18.18182,46.06061,113,52,61,66.06061,60,35.15152,404,97,307,177.5758,54.54546,163.0303,3067,1244,1823,538.7879,497.5757,235.1515
"ACSSF","ca","140","00",,,,"06","037",,,"604102",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037604102","Census Tract 6041.02",,,"Census Tract 6041.02, Los Angeles County, California","06037604102","533455","0",,,903,80,853,323,530,87.87878,53.93939,96.9697,2642,813,1829,369.697,129.697,384.2424,223,8,215,204.2424,7.878788,204.8485,208,119,89,102.4242,67.27273,72.12122,285,228,57,88.48485,86.66666,36.36364,1926,458,1468,329.0909,112.1212,301.2121
"ACSSF","ca","140","00",,,,"06","037",,,"604200",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037604200","Census Tract 6042",,,"Census Tract 6042, Los Angeles County, California","06037604200","1256332","0",,,1698,135.1515,1649,811,838,140.6061,82.42424,153.3333,5798,3031,2767,497.5757,423.0303,430.303,1107,627,480,281.2121,195.7576,190.9091,13,0,13,13.93939,11.51515,13.93939,262,48,214,184.2424,24.84848,182.4242,4115,2066,2049,500,411.5151,369.0909
"ACSSF","ca","140","00",,,,"06","037",,,"609900",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037609900","Census Tract 6099",,,"Census Tract 6099, Los Angeles County, California","06037609900","531815","0",,,656,71.51515,603,304,299,68.48485,46.66667,62.42424,1494,849,645,150.303,143.6364,146.6667,73,22,51,39.39394,13.93939,36.36364,131,105,26,90.30303,90.90909,13.93939,498,270,228,83.0303,65.45454,60,752,428,324,144.8485,130.303,129.0909
"ACSSF","ca","140","00",,,,"06","037",,,"620001",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037620001","Census Tract 6200.01",,,"Census Tract 6200.01, Los Angeles County, California","06037620001","1163578","0",,,1760,133.3333,1689,849,840,138.1818,130.9091,100.6061,4195,2445,1750,249.0909,253.3333,247.2727,162,150,12,126.0606,124.2424,12.12121,441,325,116,131.5152,123.0303,61.81818,2511,1504,1007,288.4849,203.6364,241.2121,792,328,464,176.9697,144.8485,127.8788
"ACSSF","ca","140","00",,,,"06","037",,,"620002",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037620002","Census Tract 6200.02",,,"Census Tract 6200.02, Los Angeles County, California","06037620002","1184742","0",,,1658,103.6364,1473,537,936,113.9394,77.57576,101.2121,3402,1436,1966,295.1515,241.8182,243.0303,83,0,83,53.93939,8.484848,53.93939,557,76,481,111.5152,44.84848,118.7879,1889,986,903,247.8788,202.4242,156.3636,565,217,348,120.6061,98.78788,103.6364
